tem_00682_01738844091	ఈ నేపథ్యంలో వెయ్యి ఏడు వందలు నలభై తొమ్మిదిలో షాహూజీ మరణించాడు
tem_04272_00288589227	భారత భాషలలో విజ్ఞాన సర్వస్వం ఆరంభమైంది తెలుగులోనే
tem_05479_00907538055	కడప ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని కడప జిల్లాకు చెందిన ఒక మండలము\n
tem_03338_00347982994	చోరగణ తిలకము
tem_00682_00353105455	చిన్నప్పటి నుంచి సంగీతమంటే తగని ఆసక్తి
tem_04771_01845712672	ఒక మైలులో
tem_04272_01338942361	ఇప్పటికే ఏమైనా రాసి ఉంటే అది కనిపిస్తుంది
tem_05479_00393263146	మళ్ళీ పరిశీలించి మీ అభిప్రాయం వ్రాయండి\n
tem_02769_00634581293	ఎస్విరామారావు నాటి వంద ఒక చిత్రాలు
tem_06359_00533179660	జనాభా మరియు సమాజ జీవ శాస్త్రా సిరీస్ పదహారు
tem_03338_01486173708	తరువాత కుంతీదేవి ఆశీర్వాదము తీసుకున్నారు
tem_04272_00849168583	దాదాసాహెబ్ ఫాల్కే అవార్డు గ్రహీత అక్కినేని నాగేశ్వరరావు
tem_02812_02117148240	అయినా ఏ మాత్రం ప్రతిస్పందన రాలేదు
tem_02812_01819278725	ఈ గ్రామంలో జిల్లా పరిషత్ ఉన్నత పాఠశాల కలదు
tem_02769_01245160916	ఒక చెట్టు కింద విశ్రమించారు
tem_09015_01304502412	అందుకు పంచకర్మ చికిత్సలు చేయించుకోవాలి
tem_00682_01119452993	దీనిని చోళరాజుల కాలంలో నిర్మించినారు
tem_09525_00939675579	మసిద్ వ్యాసానికి జత చేస్తాను రెండు మూడు రోజులలో\n
tem_06359_00044296741	పిన్ కోడ్ అయిదు వందలు ఇరవై రెండు నాలుగు వందలు ముప్పై అయిదు
tem_08680_00623855953	ఈ సినిమాలో రెండు పాటలను ఆరుద్ర రచించారు\n
tem_08680_01009717275	మీరు వ్రాసిన ప్రకాశం జిల్లా ప్రముఖుల జాబితాను చూశాను\n
tem_00974_00538157597	చదువు అయిదువ తరగతి
tem_04771_01279300117	ఆరు వందల మీటర్‌లలో
tem_02812_00372225012	అలాంటి అంశాలు మనిషిలోనూ ఉంటాయి
tem_09015_00577471814	అందులో రెండు అర్థసెంచరీలు ఉన్నాయి
tem_02769_00105392699	చంద్రమోహన్ మెమోరియల్ స్వర్ణ పతకం
tem_00682_01857477627	రాజు గారికి ఏమీ అర్థం కాలేదు
tem_09525_01210609996	పైగా అవి ప్రమాదకరం\n
tem_04272_00459629548	ఆయన స్వస్థలం శ్రీకాకుళం జిల్లా రాజాం
tem_09222_01910139569	అంతర్జాలం మీద ఆంగ్లం ఆధిక్యత కలిగి ఉంది\n
tem_02769_00847370578	కంబ మహాకవి పుట్టిన ప్రదేశము
tem_09222_01549906625	దీదీ దీదీ అంటూ వంతరాగాలు పాడతారు
tem_03338_01165791338	నీవు సుమంగళిగా జీవించు
tem_02812_01754868000	కావలి పేరుతో చాలా వ్యాసాలు ఉన్నాయి
tem_00682_00266395074	గౌతమ బుద్ధుడు ఈ కాలము నాటి వాడే
tem_04771_00312142564	చీలిక వద్ద కుడివైపు వెళ్లండి
tem_02477_01661343517	ఈ దేవాలయానికి రైలు సౌకర్యం లేదు
tem_03338_01725822781	నగరం తడి లేని వేడి వాతావరణం కలిగి ఉంది
tem_00682_01061375880	ది మైండ్ ఆఫ్ ఎన్ ఏప్
tem_03338_00598429542	నకులుడు శల్యుని మీద పది బాణములు వేసాడు
tem_04272_00540197767	ప్రపంచంలో అమెరికా తర్వాత ఈ ఘనత సాధించిన రెండో దేశంగా చరిత్ర సృష్టించింది
tem_03338_00470882486	దేవరకొండ కోట ఇది దేవరకొండ పట్టణంలోని కోట
tem_09222_01951665006	గుళ్ళో శివుని పానుపట్టం ఎత్తుగా వుంటుంది
tem_08680_01621778330	దీని కేంద్రం ఢిల్లీ లో వున్నది\n
tem_09015_01789513427	వాటర్ డేంజర్ ఫర్ మారథాన్ రన్నర్స్
tem_06917_01560662843	ఇంకనూ మీకు ఏమైనా సందేహాలుంటే చర్చా పేజీలలో వ్రాయండి
tem_04771_01557856805	పశ్చిమం వైపుగా
tem_02769_00589890714	అవన్నీ నాకు తెలుసు
tem_06359_01797450563	సావిత్రి కూడా నారదునికి నమస్కరించింది
tem_03338_01690209488	బారామతికి ఒక విమానాశ్రయం కూడా ఉంది
tem_07220_00747021230	నెలనెలా డబ్బులు సాయము చేసేవారు
tem_00682_01163944771	ఈ మాజీ నిర్వాహకుడు ప్రస్తుతము తెలుగు వికీపీడియా నుండి సెలవు తీసుకున్నాడు
tem_06359_01310622577	ప్లైట్ ఇంజనీర్ గానే కదా
tem_04272_00931776891	వీటి జాబితా మొదటి పేజి లొ బొమ్మ క్రింద ఇస్తే ఎలా ఉంటుంది
tem_09222_00182936642	గత ఆరు మాసాల్లో ఇదే అత్యధిక పెరుగుదల రేటు
tem_05479_02137992948	పదో తరగతి వరకు పాఠశాల కలదు\n
tem_02812_00137684238	పశ్చిమ సైబీరియ హిమనీనదీయ సరస్సు చూడండి
tem_00682_02002288482	ఈ విషయాల మీద చాలా గ్రంధాలు రచించాడు
tem_04272_00483773988	అవును వైరస్ వ్యాసం బాగా వస్తుంది
tem_07220_00214632187	ద్రౌవది వస్త్రాపహరణం వెయ్యి ఎనిమిది వందలు ఎనభై రెండు ముద్రితం
tem_08680_01510993264	సీలోనే తరగతినే ప్రథమ స్థానంలో నిలిచారు\n
tem_02769_00394724657	రాజమండ్రికి నలభై అయిదు కిలోమీటర్ల దూరంలో వున్నది
tem_02812_01379983363	మళ్ళీ పరిశీలించి మీ అభిప్రాయం వ్రాయండి
tem_02812_00695986377	చదివి అర్ధంచేసుకోలేం
tem_04272_00986264022	జిల్లాలో ముఖ్యమైన గ్రామాలలో ఇది ఒకటి
tem_04272_01082507873	ప్రజలకు సంబంధించిన సర్వీసులు అన్నీ వీటి ద్వారానే జరుగుతున్నాయి
tem_09525_01143529881	అది అప్పటి పరిస్థితిని బట్టి ఉంటుంది\n
tem_04272_00915309863	కవి కొండ అగ్రహారం విశాఖపట్నం జిల్లా కోటపాడు మండలానికి చెందిన గ్రామము
tem_08680_00613953394	అలాంటి సమయంలో\n
