Token will not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid.
Your token has been saved to /raid/cs20mds14030/.huggingface/token
Login successful
Avaialble datasets --> ['indic_superb/clean_train', 'indic_superb/clean_valid', 'indic_superb/clean_test_known', 'indic_superb/clean_test_unknown', 'ulca/Chai_Bisket_Stories_16-08-2021_14-17', 'ulca/Telangana_Sahitya_Akademi_16-08-2021_14-40', 'open_slr/te_in_female', 'open_slr/te_in_male']
##### Loading the datasets #####
indic_superb/clean_train
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 70692
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 73071
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 75481
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 76973
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 77558
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 77734
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 80028
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 82182
})
##### Successfully loaded the datasets #####
{'The dataset has 82182 rows worth 162 hours of data'}
DatasetDict({
    train: Dataset({
        features: ['audio', 'transcription', 'duration'],
        num_rows: 73963
    })
    test: Dataset({
        features: ['audio', 'transcription', 'duration'],
        num_rows: 8219
    })
})
Performed train test split
Training Dataset Details
Dataset({
    features: ['audio', 'transcription', 'duration'],
    num_rows: 73963
})
73963 samples --> 146 hours of data


Testing Dataset Details
Dataset({
    features: ['audio', 'transcription', 'duration'],
    num_rows: 8219
})
8219 samples --> 146 hours of data
model_output_dir --> ./whisper-small-te-146h
####### Loaded WhisperFeatureExtractor, WhisperTokenizer and WhisperProcessor successfully #########
###### Preparing dataset started ########
####### Preparing dataset completed ########
####### Loaded the Pre-Trained Checkpoint ########
####### Defined the Training Configuration #########
######## Finetuning Started #########
{'loss': 2.0315, 'learning_rate': 8e-08, 'epoch': 0.01}
{'loss': 0.1058, 'learning_rate': 8.572857142857144e-06, 'epoch': 0.87}
{'loss': 0.1046, 'learning_rate': 8.537142857142858e-06, 'epoch': 0.87}
{'loss': 0.0995, 'learning_rate': 8.501428571428572e-06, 'epoch': 0.88}
{'loss': 0.0993, 'learning_rate': 8.465714285714285e-06, 'epoch': 0.88}
{'loss': 0.1099, 'learning_rate': 8.43e-06, 'epoch': 0.89}
{'loss': 0.0987, 'learning_rate': 8.394285714285714e-06, 'epoch': 0.89}
{'loss': 0.1075, 'learning_rate': 8.35857142857143e-06, 'epoch': 0.9}
{'loss': 0.101, 'learning_rate': 8.322857142857143e-06, 'epoch': 0.9}
{'loss': 0.1077, 'learning_rate': 8.288571428571429e-06, 'epoch': 0.91}
{'loss': 0.0942, 'learning_rate': 8.252857142857144e-06, 'epoch': 0.91}
{'loss': 0.1017, 'learning_rate': 8.217142857142858e-06, 'epoch': 0.92}
{'loss': 0.1001, 'learning_rate': 8.181428571428573e-06, 'epoch': 0.92}
{'loss': 0.0944, 'learning_rate': 8.145714285714287e-06, 'epoch': 0.93}
{'loss': 0.0964, 'learning_rate': 8.110000000000002e-06, 'epoch': 0.94}
{'loss': 0.1002, 'learning_rate': 8.074285714285714e-06, 'epoch': 0.94}
{'loss': 0.1008, 'learning_rate': 8.03857142857143e-06, 'epoch': 0.95}
{'loss': 0.0964, 'learning_rate': 8.002857142857143e-06, 'epoch': 0.95}
{'loss': 0.0949, 'learning_rate': 7.967142857142858e-06, 'epoch': 0.96}
{'loss': 0.1014, 'learning_rate': 7.931428571428572e-06, 'epoch': 0.96}
{'loss': 0.0929, 'learning_rate': 7.895714285714287e-06, 'epoch': 0.97}
{'loss': 0.0983, 'learning_rate': 7.860000000000001e-06, 'epoch': 0.97}
{'loss': 0.0956, 'learning_rate': 7.824285714285715e-06, 'epoch': 0.98}
{'loss': 0.097, 'learning_rate': 7.788571428571428e-06, 'epoch': 0.98}
{'loss': 0.0944, 'learning_rate': 7.752857142857144e-06, 'epoch': 0.99}
{'loss': 0.1025, 'learning_rate': 7.717142857142857e-06, 'epoch': 1.0}
{'loss': 0.1009, 'learning_rate': 7.681428571428573e-06, 'epoch': 1.0}
{'loss': 0.0825, 'learning_rate': 7.645714285714286e-06, 'epoch': 1.01}
{'loss': 0.084, 'learning_rate': 7.610000000000001e-06, 'epoch': 1.01}
{'loss': 0.074, 'learning_rate': 7.574285714285715e-06, 'epoch': 1.02}
{'loss': 0.0843, 'learning_rate': 7.53857142857143e-06, 'epoch': 1.02}
{'loss': 0.0769, 'learning_rate': 7.502857142857144e-06, 'epoch': 1.03}
{'loss': 0.0793, 'learning_rate': 7.467142857142857e-06, 'epoch': 1.03}
{'loss': 0.0794, 'learning_rate': 7.431428571428572e-06, 'epoch': 1.04}
{'loss': 0.0812, 'learning_rate': 7.395714285714286e-06, 'epoch': 1.04}
{'loss': 0.0786, 'learning_rate': 7.360000000000001e-06, 'epoch': 1.05}
{'loss': 0.0825, 'learning_rate': 7.324285714285715e-06, 'epoch': 1.05}
{'loss': 0.0814, 'learning_rate': 7.28857142857143e-06, 'epoch': 1.06}
{'loss': 0.0814, 'learning_rate': 7.252857142857143e-06, 'epoch': 1.07}
{'loss': 0.0787, 'learning_rate': 7.217142857142858e-06, 'epoch': 1.07}
{'loss': 0.0796, 'learning_rate': 7.181428571428572e-06, 'epoch': 1.08}
{'loss': 0.0729, 'learning_rate': 7.145714285714286e-06, 'epoch': 1.08}
{'eval_loss': 0.09336462616920471, 'eval_wer': 33.33061253046328, 'eval_runtime': 10137.1708, 'eval_samples_per_second': 0.811, 'eval_steps_per_second': 0.203, 'epoch': 1.08}
{'loss': 0.0801, 'learning_rate': 7.1100000000000005e-06, 'epoch': 1.09}
{'loss': 0.0817, 'learning_rate': 7.074285714285715e-06, 'epoch': 1.09}
{'loss': 0.0773, 'learning_rate': 7.038571428571429e-06, 'epoch': 1.1}
{'loss': 0.0845, 'learning_rate': 7.002857142857143e-06, 'epoch': 1.1}
{'loss': 0.0774, 'learning_rate': 6.967142857142858e-06, 'epoch': 1.11}
{'loss': 0.08, 'learning_rate': 6.931428571428572e-06, 'epoch': 1.11}
{'loss': 0.0792, 'learning_rate': 6.895714285714287e-06, 'epoch': 1.12}
{'loss': 0.0773, 'learning_rate': 6.860000000000001e-06, 'epoch': 1.13}
{'loss': 0.075, 'learning_rate': 6.824285714285714e-06, 'epoch': 1.13}
{'loss': 0.0814, 'learning_rate': 6.7885714285714286e-06, 'epoch': 1.14}
{'loss': 0.0793, 'learning_rate': 6.752857142857143e-06, 'epoch': 1.14}
{'loss': 0.0771, 'learning_rate': 6.7171428571428576e-06, 'epoch': 1.15}
{'loss': 0.0807, 'learning_rate': 6.681428571428572e-06, 'epoch': 1.15}
{'loss': 0.0819, 'learning_rate': 6.645714285714287e-06, 'epoch': 1.16}
{'loss': 0.0747, 'learning_rate': 6.610000000000001e-06, 'epoch': 1.16}
{'loss': 0.0755, 'learning_rate': 6.574285714285716e-06, 'epoch': 1.17}
{'loss': 0.0743, 'learning_rate': 6.538571428571428e-06, 'epoch': 1.17}
{'loss': 0.0809, 'learning_rate': 6.502857142857143e-06, 'epoch': 1.18}
{'loss': 0.0751, 'learning_rate': 6.467142857142857e-06, 'epoch': 1.18}
{'loss': 0.0802, 'learning_rate': 6.431428571428572e-06, 'epoch': 1.19}
{'loss': 0.0748, 'learning_rate': 6.3957142857142864e-06, 'epoch': 1.2}
{'loss': 0.076, 'learning_rate': 6.360000000000001e-06, 'epoch': 1.2}
{'loss': 0.0807, 'learning_rate': 6.3242857142857154e-06, 'epoch': 1.21}
{'loss': 0.0835, 'learning_rate': 6.288571428571429e-06, 'epoch': 1.21}
{'loss': 0.0783, 'learning_rate': 6.252857142857144e-06, 'epoch': 1.22}
{'loss': 0.0726, 'learning_rate': 6.217142857142857e-06, 'epoch': 1.22}
{'loss': 0.0743, 'learning_rate': 6.181428571428572e-06, 'epoch': 1.23}
{'loss': 0.0746, 'learning_rate': 6.145714285714286e-06, 'epoch': 1.23}
{'loss': 0.0796, 'learning_rate': 6.110000000000001e-06, 'epoch': 1.24}
{'loss': 0.0802, 'learning_rate': 6.0742857142857145e-06, 'epoch': 1.24}
{'loss': 0.0734, 'learning_rate': 6.038571428571429e-06, 'epoch': 1.25}
{'loss': 0.0773, 'learning_rate': 6.0028571428571435e-06, 'epoch': 1.25}
{'loss': 0.0719, 'learning_rate': 5.967142857142858e-06, 'epoch': 1.26}
{'loss': 0.0731, 'learning_rate': 5.9314285714285725e-06, 'epoch': 1.27}
{'loss': 0.0715, 'learning_rate': 5.895714285714286e-06, 'epoch': 1.27}
{'loss': 0.0786, 'learning_rate': 5.86e-06, 'epoch': 1.28}
{'loss': 0.0807, 'learning_rate': 5.824285714285714e-06, 'epoch': 1.28}
{'loss': 0.0817, 'learning_rate': 5.788571428571429e-06, 'epoch': 1.29}
{'loss': 0.086, 'learning_rate': 5.752857142857143e-06, 'epoch': 1.29}
{'loss': 0.0759, 'learning_rate': 5.717142857142858e-06, 'epoch': 1.3}
{'loss': 0.0761, 'learning_rate': 5.681428571428572e-06, 'epoch': 1.3}
{'loss': 0.0771, 'learning_rate': 5.645714285714287e-06, 'epoch': 1.31}
{'loss': 0.0765, 'learning_rate': 5.610000000000001e-06, 'epoch': 1.31}
{'loss': 0.0814, 'learning_rate': 5.574285714285714e-06, 'epoch': 1.32}
{'loss': 0.0785, 'learning_rate': 5.538571428571429e-06, 'epoch': 1.33}
{'loss': 0.0702, 'learning_rate': 5.502857142857143e-06, 'epoch': 1.33}
{'loss': 0.0734, 'learning_rate': 5.467142857142858e-06, 'epoch': 1.34}
{'loss': 0.0748, 'learning_rate': 5.431428571428572e-06, 'epoch': 1.34}
{'loss': 0.0772, 'learning_rate': 5.395714285714287e-06, 'epoch': 1.35}
{'loss': 0.0771, 'learning_rate': 5.36e-06, 'epoch': 1.35}
{'loss': 0.0748, 'learning_rate': 5.324285714285715e-06, 'epoch': 1.36}
{'loss': 0.0806, 'learning_rate': 5.2885714285714285e-06, 'epoch': 1.36}
{'loss': 0.0774, 'learning_rate': 5.252857142857143e-06, 'epoch': 1.37}
{'loss': 0.0765, 'learning_rate': 5.2171428571428575e-06, 'epoch': 1.37}
{'loss': 0.0732, 'learning_rate': 5.181428571428572e-06, 'epoch': 1.38}
{'loss': 0.0805, 'learning_rate': 5.145714285714286e-06, 'epoch': 1.38}
{'loss': 0.0749, 'learning_rate': 5.11e-06, 'epoch': 1.39}
{'loss': 0.0731, 'learning_rate': 5.074285714285715e-06, 'epoch': 1.4}
{'loss': 0.0713, 'learning_rate': 5.038571428571429e-06, 'epoch': 1.4}
{'loss': 0.0805, 'learning_rate': 5.002857142857144e-06, 'epoch': 1.41}
{'loss': 0.0685, 'learning_rate': 4.967142857142857e-06, 'epoch': 1.41}
{'loss': 0.0685, 'learning_rate': 4.931428571428572e-06, 'epoch': 1.42}
{'loss': 0.0756, 'learning_rate': 4.8957142857142855e-06, 'epoch': 1.42}
{'loss': 0.0734, 'learning_rate': 4.86e-06, 'epoch': 1.43}
{'loss': 0.0745, 'learning_rate': 4.8242857142857146e-06, 'epoch': 1.43}
{'loss': 0.0717, 'learning_rate': 4.788571428571429e-06, 'epoch': 1.44}
{'loss': 0.0746, 'learning_rate': 4.7528571428571436e-06, 'epoch': 1.44}
{'loss': 0.0753, 'learning_rate': 4.717142857142857e-06, 'epoch': 1.45}
{'loss': 0.0698, 'learning_rate': 4.681428571428572e-06, 'epoch': 1.45}
{'loss': 0.0769, 'learning_rate': 4.645714285714286e-06, 'epoch': 1.46}
{'loss': 0.0765, 'learning_rate': 4.610000000000001e-06, 'epoch': 1.47}
{'loss': 0.0754, 'learning_rate': 4.574285714285714e-06, 'epoch': 1.47}
{'loss': 0.0754, 'learning_rate': 4.538571428571429e-06, 'epoch': 1.48}
{'loss': 0.0708, 'learning_rate': 4.5028571428571434e-06, 'epoch': 1.48}
{'loss': 0.0695, 'learning_rate': 4.467142857142858e-06, 'epoch': 1.49}
{'loss': 0.0736, 'learning_rate': 4.431428571428572e-06, 'epoch': 1.49}
{'loss': 0.0736, 'learning_rate': 4.395714285714286e-06, 'epoch': 1.5}
{'loss': 0.0726, 'learning_rate': 4.360000000000001e-06, 'epoch': 1.5}
